customer_id,age,gender,geography,tenure_years,num_products,has_credit_card,is_active_member,credit_score,account_balance,estimated_salary,num_transactions_6m,avg_transaction_amount,num_complaints,last_interaction_days_ago,mobile_app_logins_monthly,net_banking_active,branch_visits_year,has_loan,loan_default_history,emi_to_income_ratio,joining_date,last_transaction_date,churn
CUST00018,46.0,Female,Chennai,7.0,1.0,0.0,0.0,,19081.01,79531.78,13.0,11418.15,2.0,503.0,49.0,1,22.0,0.0,0.0,,2023-12-21,2022-09-13,0
CUST00019,,Female,Hyderabad,13.0,1.0,1.0,1.0,730.0,99941.49,72162.87,5.0,14361.27,0.0,396.0,29.0,0,2.0,0.0,0.0,,2018-04-17,2023-04-27,0
CUST00020,,Female,Chennai,7.0,1.0,0.0,1.0,709.0,15776.26,75305.64,53.0,12922.09,0.0,194.0,52.0,YES,26.0,0.0,0.0,,2023-07-13,2023-08-12,0
CUST00021,61.0,Male,Mumbai,4.0,1.0,1.0,1.0,,1361.71,176815.31,61.0,7696.12,0.0,412.0,44.0,YES,2.0,0.0,0.0,,2016-11-27,2024-06-11,0
CUST00022,39.0,Male,Ahmedabad,,,1.0,1.0,569.0,13929.09,76592.3,5.0,7208.45,0.0,16.0,38.0,YES,18.0,1.0,1.0,0.212,2021-06-17,2024-09-11,1
CUST00023,43.0,Male,Kolkata,9.0,1.0,0.0,1.0,630.0,37855.25,41796.93,76.0,14215.23,3.0,197.0,18.0,YES,0.0,0.0,0.0,,2019-11-24,2023-11-26,0
CUST00024,23.0,Male,Mumbai,13.0,3.0,0.0,0.0,709.0,9019.3,48785.96,,7450.64,0.0,476.0,3.0,NO,0.0,0.0,0.0,,2016-02-08,2021-02-13,1
CUST00025,35.0,Female,Delhi,12.0,2.0,1.0,0.0,662.0,17619.73,106230.24,1.0,12335.59,0.0,292.0,26.0,1,7.0,1.0,0.0,0.453,2015-11-20,2023-01-22,0
CUST00026,43.0,Female,Mumbai,2.0,3.0,0.0,1.0,599.0,115726.46,17860.75,35.0,7854.52,1.0,579.0,8.0,NO,,0.0,0.0,,2023-02-19,2021-06-03,0
CUST00027,27.0,Female,Delhi,15.0,1.0,1.0,1.0,671.0,117533.6,93023.32,28.0,100.0,1.0,460.0,28.0,0,,0.0,0.0,,2023-11-01,2024-02-04,0
CUST00028,47.0,Female,Bangalore,14.0,1.0,1.0,1.0,624.0,136075.25,46047.3,51.0,11320.1,0.0,395.0,6.0,YES,3.0,0.0,0.0,,2021-09-16,2021-03-02,0
CUST00029,34.0,Male,Chennai,6.0,2.0,0.0,1.0,720.0,,10000.0,66.0,12831.27,0.0,,41.0,0,11.0,0.0,0.0,,2020-09-21,2022-02-16,0
CUST00030,38.0,Male,Pune,14.0,1.0,1.0,1.0,677.0,43638.32,35797.11,23.0,6359.66,0.0,663.0,51.0,NO,3.0,0.0,0.0,,2023-01-18,2022-04-04,0
CUST00031,34.0,Female,,12.0,1.0,1.0,0.0,625.0,161723.8,76101.35,69.0,2213.55,0.0,322.0,4.0,NO,10.0,0.0,0.0,,2019-05-10,2023-06-13,1
CUST00032,66.0,,,5.0,3.0,1.0,1.0,669.0,59713.18,130806.7,33.0,15607.98,1.0,214.0,30.0,0,26.0,1.0,0.0,0.649,2017-05-30,2021-01-24,0
CUST00033,,Male,Pune,14.0,2.0,0.0,1.0,755.0,50880.44,111533.18,79.0,7270.72,0.0,531.0,38.0,NO,3.0,0.0,0.0,,2020-04-27,2022-11-06,0
CUST00034,28.0,Male,Pune,0.0,1.0,1.0,0.0,604.0,101420.15,63252.39,65.0,6281.11,2.0,617.0,33.0,NO,,1.0,0.0,0.193,2021-06-16,2023-08-12,0
CUST00035,53.0,Male,Mumbai,3.0,2.0,0.0,0.0,682.0,19245.4,113887.48,24.0,10244.36,1.0,221.0,40.0,NO,15.0,0.0,0.0,,2021-02-11,2021-04-01,0
CUST00036,26.0,Male,Hyderabad,5.0,1.0,1.0,0.0,644.0,124660.57,60728.81,9.0,21681.52,0.0,168.0,19.0,YES,16.0,1.0,0.0,0.251,2020-06-06,2023-06-16,0
CUST00037,45.0,Female,Bangalore,15.0,2.0,0.0,0.0,684.0,44894.58,16339.54,63.0,10420.56,0.0,176.0,28.0,YES,20.0,0.0,0.0,,2021-12-05,2023-08-29,0
CUST00038,18.0,Female,Kolkata,10.0,1.0,1.0,1.0,598.0,10892.65,75843.51,35.0,8891.27,0.0,,11.0,YES,8.0,0.0,0.0,,2019-05-11,2024-12-11,0
CUST00039,25.0,Female,Hyderabad,5.0,1.0,1.0,1.0,659.0,7888279.33,14762.64,61.0,8348.9,0.0,710.0,27.0,0,1.0,0.0,0.0,,2015-10-15,2023-11-30,0
CUST00040,45.0,Female,Delhi,10.0,1.0,1.0,1.0,739.0,14416.95,106656.33,16.0,16270.53,3.0,443.0,39.0,YES,7.0,0.0,0.0,,2023-02-16,2023-03-15,0
CUST00041,52.0,Male,Kolkata,13.0,,1.0,1.0,575.0,176999.62,107235.2,72.0,10636.62,0.0,489.0,37.0,NO,0.0,0.0,0.0,,2015-02-15,2021-01-22,0
CUST00042,44.0,Male,Ahmedabad,14.0,,1.0,0.0,544.0,376291.67,4540041.81,72.0,12319.08,2.0,453.0,27.0,0,19.0,0.0,0.0,,2017-06-23,2023-08-06,1
CUST00043,40.0,Female,Ahmedabad,11.0,2.0,1.0,1.0,547.0,35325.58,80823.9,23.0,9519.65,0.0,110.0,10.0,NO,22.0,0.0,0.0,,2018-05-04,2021-02-07,0
CUST00044,38.0,Male,Pune,11.0,1.0,1.0,1.0,556.0,27641.15,80441.97,62.0,10679.29,0.0,556.0,8.0,YES,7.0,0.0,0.0,,2015-03-01,2024-08-29,0
CUST00045,23.0,Female,Hyderabad,2.0,1.0,1.0,0.0,698.0,19750.95,109878.54,44.0,6608.02,1.0,27.0,30.0,1,13.0,0.0,0.0,,2021-10-06,2021-10-24,0
CUST00046,33.0,M,Hyderabad,5.0,1.0,1.0,0.0,538.0,138898.33,25197.27,,8846.63,1.0,143.0,23.0,0,6.0,0.0,0.0,,2018-01-22,2023-02-21,0
CUST00047,36.0,Male,Mumbai,11.0,,0.0,0.0,626.0,18777.57,98979.5,63.0,4569.39,0.0,418.0,37.0,NO,14.0,0.0,0.0,,2020-11-09,2022-07-01,0
CUST00048,56.0,Male,Pune,,2.0,0.0,1.0,699.0,206256.69,22329.23,11.0,5459.86,3.0,565.0,52.0,NO,8.0,1.0,0.0,0.5,2019-10-27,2021-12-09,1
CUST00049,46.0,Male,Chennai,5.0,3.0,0.0,0.0,683.0,88053.24,106087.55,68.0,,0.0,539.0,12.0,NO,9.0,0.0,0.0,,2015-02-24,2022-03-16,0
CUST00050,19.0,Male,Delhi,11.0,1.0,1.0,1.0,619.0,181941.42,117507.9,75.0,4482.02,0.0,404.0,21.0,NO,17.0,0.0,0.0,,2023-01-30,2021-02-11,0
CUST00051,46.0,Female,Delhi,8.0,1.0,0.0,0.0,665.0,64596.67,48216.34,8.0,8652.52,0.0,597.0,23.0,YES,7.0,0.0,0.0,,2020-06-30,2022-02-15,0
CUST00052,37.0,Male,Ahmedabad,8.0,3.0,1.0,0.0,659.0,93870.28,123765.15,49.0,6161.85,1.0,,19.0,YES,8.0,0.0,0.0,,2018-03-23,2023-05-28,0
CUST00053,33.0,Female,Kolkata,1.0,4.0,1.0,0.0,632.0,77292.72,12038.68,72.0,2379.39,0.0,2.0,41.0,1,13.0,0.0,0.0,,2018-01-11,2021-09-10,1
CUST00054,50.0,Female,Hyderabad,3.0,1.0,1.0,0.0,633.0,142321.1,118983.34,8.0,9138.77,0.0,643.0,,1,3.0,0.0,0.0,,2017-02-18,2022-12-27,0
CUST00055,55.0,Female,Mumbai,8.0,1.0,1.0,0.0,829.0,144563.24,132538.25,71.0,11877.32,0.0,506.0,36.0,YES,20.0,0.0,0.0,,2016-03-14,2022-06-26,0
CUST00056,54.0,,Bangalore,14.0,1.0,0.0,1.0,715.0,71287.47,88832.61,34.0,1423.88,0.0,152.0,28.0,YES,8.0,0.0,0.0,,2015-11-12,2023-01-08,0
CUST00057,31.0,Female,Pune,13.0,1.0,0.0,1.0,848.0,80084.22,67178.97,32.0,11044.78,0.0,,36.0,0,26.0,1.0,0.0,0.597,2020-08-05,2021-04-21,0
CUST00058,38.0,Male,Chennai,12.0,1.0,1.0,1.0,610.0,203956.56,,77.0,2424.72,0.0,25.0,35.0,0,15.0,1.0,0.0,0.604,2017-09-28,2023-11-09,0
CUST00059,46.0,Male,Pune,3.0,4.0,0.0,1.0,643.0,212588.36,50849.67,77.0,14777.78,,132.0,51.0,1,22.0,1.0,0.0,0.199,2019-08-07,2024-01-09,0
CUST00060,55.0,Male,Chennai,7.0,1.0,1.0,1.0,543.0,87311.02,179985.07,65.0,10835.3,0.0,132.0,39.0,1,,1.0,0.0,0.462,2020-09-09,2023-04-06,0
CUST00061,36.0,Male,Delhi,9.0,1.0,1.0,1.0,585.0,622.76,51538.75,63.0,1423.64,0.0,53.0,10.0,0,28.0,1.0,0.0,0.368,2023-07-05,2022-08-24,0
CUST00062,40.0,Female,Hyderabad,11.0,2.0,1.0,1.0,802.0,8821.91,127696.05,53.0,12264.87,0.0,327.0,13.0,YES,27.0,1.0,0.0,0.387,2022-05-05,2022-03-01,0
CUST00063,28.0,FEMALE,Hyderabad,2.0,1.0,1.0,1.0,608.0,156121.89,45350.9,67.0,4933.8,0.0,145.0,29.0,NO,18.0,1.0,0.0,0.314,2017-12-30,2023-01-13,1
CUST00064,26.0,Female,Bangalore,2.0,1.0,1.0,1.0,804.0,7081.51,,30.0,3172.8,1.0,723.0,22.0,YES,16.0,1.0,0.0,0.156,2016-05-09,2022-08-11,0
CUST00065,53.0,Female,Pune,8.0,4.0,1.0,0.0,551.0,19214.96,155493.14,,11608.8,2.0,565.0,15.0,NO,25.0,0.0,0.0,,2015-06-13,2022-08-03,0
CUST00066,60.0,Male,Bangalore,15.0,2.0,1.0,0.0,566.0,20966.0,90439.63,25.0,,0.0,125.0,30.0,0,20.0,1.0,0.0,0.093,2016-11-21,2023-05-01,0
CUST00067,41.0,Male,Hyderabad,10.0,3.0,0.0,0.0,623.0,73350.23,86466.29,33.0,10381.6,0.0,106.0,20.0,YES,16.0,0.0,0.0,,2020-09-07,2022-01-13,0
CUST00068,55.0,Male,Chennai,9.0,1.0,1.0,1.0,645.0,68761.23,36736.84,16.0,6141.84,0.0,88.0,20.0,0,27.0,0.0,0.0,,2020-12-18,2023-03-13,1
CUST00069,47.0,Female,Mumbai,7.0,,1.0,0.0,724.0,27333.62,31973.3,49.0,8847.81,,464.0,59.0,1,10.0,0.0,0.0,,2015-01-15,2023-02-06,0
CUST00070,34.0,Male,Mumbai,0.0,3.0,1.0,1.0,686.0,18616.26,86916.58,3.0,5089.22,0.0,321.0,20.0,0,12.0,0.0,0.0,,2019-11-11,2025-03-21,0
CUST00071,47.0,Male,Delhi,9.0,1.0,1.0,1.0,617.0,115694.43,133327.7,29.0,7128.1,1.0,,38.0,NO,2.0,0.0,0.0,,2018-12-05,2023-08-08,0
CUST00072,62.0,Male,Ahmedabad,13.0,2.0,0.0,0.0,639.0,219232.84,53071.9,14.0,,0.0,529.0,23.0,YES,17.0,0.0,0.0,,2017-02-19,2021-08-23,1
CUST00073,42.0,Female,Pune,1.0,1.0,1.0,1.0,624.0,4340.08,163317.17,69.0,868.55,3.0,525.0,53.0,1,25.0,1.0,0.0,0.429,2017-11-27,2025-01-02,0
CUST00074,62.0,Female,Mumbai,2.0,1.0,1.0,1.0,577.0,11433.96,,,10231.55,2.0,211.0,59.0,YES,20.0,0.0,0.0,,2018-04-16,2024-08-27,1
CUST00075,18.0,Male,Kolkata,13.0,2.0,1.0,0.0,,82214.44,84175.68,29.0,937.65,4.0,204.0,16.0,1,27.0,1.0,1.0,0.215,2023-09-04,2021-06-24,0
CUST00076,53.0,Male,Mumbai,10.0,2.0,0.0,0.0,732.0,130551.64,84280.66,21.0,1631.21,0.0,602.0,26.0,0,13.0,0.0,0.0,,2019-11-08,2021-10-17,0
CUST00077,43.0,Unknown,Chennai,1.0,3.0,1.0,1.0,,,70938.62,6.0,11269.26,0.0,,16.0,1,21.0,0.0,0.0,,2021-05-25,2024-07-04,1
CUST00078,38.0,,Kolkata,2.0,1.0,1.0,1.0,779.0,101746.78,10000.0,24.0,3779.7,4.0,234.0,49.0,0,4.0,0.0,0.0,,2020-12-06,2022-04-06,0
CUST00079,43.0,Female,Chennai,7.0,2.0,0.0,1.0,623.0,174732.95,50237.08,28.0,3044.69,4.0,436.0,37.0,1,28.0,1.0,0.0,0.204,2019-06-27,2023-05-11,0
CUST00080,18.0,Female,Bangalore,10.0,1.0,1.0,1.0,588.0,19605.46,82985.57,,6521.98,0.0,496.0,8.0,NO,27.0,1.0,0.0,0.603,2017-05-03,2021-05-04,1
CUST00081,39.0,Female,Chennai,10.0,2.0,0.0,1.0,709.0,9079.56,71160.6,57.0,5043.12,0.0,582.0,31.0,YES,25.0,0.0,0.0,,2022-10-09,2025-01-08,1
CUST00082,47.0,,Ahmedabad,11.0,1.0,1.0,1.0,,76436.41,100448.11,22.0,9156.92,0.0,,47.0,YES,,1.0,1.0,0.226,2016-07-06,2021-02-20,0
CUST00083,61.0,Female,Mumbai,13.0,1.0,1.0,0.0,739.0,138201.83,105273.44,24.0,8873.33,2.0,295.0,39.0,NO,23.0,1.0,0.0,0.072,2015-02-20,2024-04-22,0
CUST00084,35.0,Male,Pune,15.0,,1.0,0.0,690.0,69790.25,65396.86,18.0,3072.09,0.0,322.0,50.0,0,23.0,1.0,0.0,0.561,2015-03-07,2023-08-30,1
CUST00085,31.0,,Ahmedabad,,1.0,0.0,1.0,737.0,,36502.79,28.0,100.0,1.0,129.0,5.0,1,25.0,0.0,0.0,,2020-10-08,2023-11-24,0
CUST00086,35.0,Female,Kolkata,14.0,2.0,1.0,1.0,513.0,127000.21,136932.71,57.0,6985.82,0.0,589.0,47.0,0,2.0,0.0,0.0,,2021-01-22,2024-12-25,0
CUST00087,54.0,Female,Kolkata,13.0,1.0,1.0,1.0,608.0,11404882.77,20781.51,74.0,13502.61,0.0,664.0,17.0,0,2.0,0.0,0.0,,2018-08-11,2024-10-03,0
CUST00088,46.0,,Bangalore,6.0,2.0,1.0,1.0,577.0,4971.93,51187.71,1.0,7670.85,0.0,245.0,21.0,NO,28.0,0.0,0.0,,2018-07-24,2022-12-02,0
CUST00089,35.0,Female,,9.0,1.0,1.0,0.0,748.0,9120.02,41001.6,26.0,6261.99,0.0,212.0,44.0,NO,4.0,1.0,0.0,0.306,2020-02-25,2024-02-03,0
CUST00090,49.0,Female,Ahmedabad,14.0,1.0,1.0,1.0,619.0,122908.99,104858.3,33.0,16651.8,0.0,702.0,36.0,NO,28.0,0.0,0.0,,2015-11-15,2021-12-03,0
CUST00091,43.0,Female,Mumbai,14.0,1.0,0.0,0.0,718.0,17675.47,127680.88,55.0,11763.04,1.0,634.0,28.0,0,18.0,0.0,0.0,,2016-10-08,2021-08-15,1
CUST00092,55.0,Female,Delhi,12.0,3.0,0.0,0.0,,2340.73,68052.26,73.0,100.0,0.0,182.0,23.0,NO,24.0,0.0,0.0,,2020-11-16,2022-03-21,1
CUST00093,33.0,Female,Ahmedabad,9.0,4.0,0.0,0.0,581.0,193314.69,84191.07,18.0,6605.15,1.0,,,1,18.0,0.0,0.0,,2023-04-26,2024-07-05,1
CUST00094,38.0,Female,Mumbai,5.0,1.0,1.0,1.0,603.0,177169.87,92150.87,69.0,9115.31,0.0,419.0,30.0,0,20.0,1.0,0.0,0.596,2019-08-02,2022-11-28,0
CUST00095,37.0,Female,Delhi,0.0,1.0,1.0,1.0,754.0,19721.55,147160.16,10.0,2661.84,0.0,36.0,41.0,1,,0.0,0.0,,2021-06-18,2021-03-20,0
CUST00096,23.0,Male,Bangalore,10.0,1.0,1.0,0.0,588.0,121205.26,10000.0,14.0,6535.44,2.0,219.0,54.0,NO,24.0,0.0,0.0,,2022-08-26,2021-04-16,1
CUST00097,46.0,Male,Bangalore,2.0,2.0,1.0,1.0,660.0,3933.51,104768.88,,8106.48,,45.0,1.0,YES,24.0,0.0,0.0,,2018-05-07,2022-08-25,0
CUST00098,45.0,Female,Delhi,12.0,,1.0,1.0,587.0,26844.31,90060.99,39.0,6881.37,2.0,215.0,7.0,0,9.0,1.0,1.0,0.129,2015-08-29,2023-04-10,0
CUST00099,42.0,Male,Ahmedabad,0.0,1.0,1.0,1.0,625.0,,60166.42,,1946.02,1.0,239.0,49.0,0,4.0,1.0,0.0,0.489,2018-06-22,2023-04-14,0
CUST00100,,,Delhi,11.0,1.0,1.0,1.0,646.0,115236.05,88049.07,51.0,15341.04,0.0,458.0,45.0,1,20.0,0.0,0.0,,2022-12-13,2022-11-27,0
CUST00101,24.0,Male,Chennai,14.0,2.0,1.0,1.0,587.0,836.29,104633.16,,9334.11,1.0,433.0,5.0,1,24.0,0.0,0.0,,2019-07-05,2024-12-29,0
CUST00102,37.0,Female,Hyderabad,15.0,1.0,0.0,1.0,573.0,31586.78,98326.51,15.0,3703.95,,,28.0,0,7.0,0.0,0.0,,2021-12-27,2021-11-05,0
CUST00103,38.0,Male,Ahmedabad,9.0,2.0,0.0,1.0,673.0,19299.06,161340.02,59.0,12380.44,0.0,499.0,35.0,NO,7.0,0.0,0.0,,2018-07-15,2025-01-11,0
CUST00104,,Male,Pune,11.0,1.0,1.0,1.0,582.0,536738.96,80099.26,33.0,7594.98,0.0,655.0,22.0,1,5.0,0.0,0.0,,2023-02-08,2024-05-13,0
CUST00105,40.0,Male,Chennai,8.0,2.0,1.0,1.0,585.0,88931.48,,68.0,12958.77,0.0,585.0,39.0,1,6.0,0.0,0.0,,2021-04-02,2024-10-03,0
CUST00106,47.0,Female,Ahmedabad,12.0,1.0,1.0,1.0,575.0,41625.84,67748.05,54.0,7478.53,2.0,74.0,32.0,YES,29.0,0.0,0.0,,2019-04-27,2025-03-09,1
CUST00107,67.0,Female,Kolkata,8.0,2.0,1.0,0.0,644.0,6293.38,97119.15,51.0,619.38,0.0,321.0,,1,12.0,0.0,0.0,,2021-03-31,2021-12-10,0
CUST00108,-5.0,Male,Bangalore,4.0,2.0,1.0,1.0,725.0,73037.75,73717.67,3.0,2664.05,0.0,11.0,35.0,0,,0.0,0.0,,2023-07-06,2022-11-23,0
CUST00109,45.0,Female,Kolkata,3.0,1.0,1.0,1.0,771.0,82111.1,,34.0,13705.41,0.0,274.0,27.0,NO,11.0,0.0,0.0,,2021-01-01,2023-02-10,0
CUST00110,41.0,Female,Kolkata,11.0,1.0,0.0,1.0,592.0,,75713.19,42.0,13163.81,0.0,546.0,23.0,NO,23.0,0.0,0.0,,2015-02-21,2023-12-17,0
CUST00111,18.0,Male,Kolkata,15.0,1.0,1.0,1.0,822.0,27239.03,69615.66,9.0,1353.29,0.0,249.0,42.0,1,7.0,1.0,1.0,0.565,2017-02-12,2022-01-08,0
CUST00112,,Female,Chennai,8.0,4.0,1.0,0.0,570.0,318888.36,50653.09,14.0,14965.19,0.0,222.0,54.0,YES,7.0,0.0,0.0,,2021-07-11,2022-06-21,0
CUST00113,43.0,Female,Delhi,8.0,3.0,1.0,0.0,737.0,,91724.26,5.0,13128.91,0.0,388.0,48.0,NO,27.0,1.0,0.0,0.367,2019-09-08,2025-02-27,1
CUST00114,74.0,Female,Bangalore,,2.0,1.0,1.0,592.0,28071.76,63598.1,,4828.92,,466.0,3.0,1,12.0,0.0,0.0,,2017-08-04,2021-09-14,0
CUST00115,39.0,Female,,2.0,1.0,0.0,1.0,580.0,34272.01,99547.18,7.0,7609.74,1.0,177.0,47.0,YES,,0.0,0.0,,2021-03-02,2022-09-09,0
CUST00116,46.0,Male,Chennai,4.0,1.0,1.0,0.0,590.0,58648.57,79430.71,40.0,100.0,0.0,292.0,51.0,1,8.0,1.0,0.0,0.514,2019-05-06,2022-03-29,1
CUST00117,42.0,Female,,2.0,3.0,1.0,0.0,646.0,220791.57,59537.0,35.0,4496.2,50.0,168.0,12.0,0,3.0,0.0,0.0,,2022-12-01,2021-06-28,0
CUST00118,,Female,Bangalore,9.0,3.0,0.0,0.0,696.0,106289.99,137593.22,71.0,6942.78,0.0,274.0,43.0,1,3.0,0.0,0.0,,2017-04-13,2025-02-09,1
CUST00119,57.0,Male,Delhi,1.0,1.0,1.0,1.0,704.0,68851.39,70907.5,8.0,9546.55,2.0,708.0,27.0,0,12.0,0.0,0.0,,2023-01-12,2024-03-28,0
CUST00120,52.0,Male,Delhi,0.0,2.0,1.0,1.0,574.0,14216.38,99912.92,60.0,7421.15,0.0,561.0,29.0,NO,1.0,0.0,0.0,,2023-02-18,2024-06-07,0
CUST00121,52.0,Male,Chennai,11.0,2.0,1.0,0.0,571.0,12940.67,47000.68,,8693.75,5.0,483.0,58.0,YES,8.0,1.0,0.0,0.337,2023-09-14,2022-12-30,0
CUST00122,30.0,m,Pune,9.0,1.0,1.0,0.0,577.0,55804.06,10000.0,5.0,3159.04,2.0,268.0,21.0,1,21.0,1.0,0.0,0.163,2015-05-14,2024-10-03,1
CUST00123,60.0,Female,Mumbai,1.0,1.0,0.0,1.0,641.0,104364.97,52320.03,60.0,9619.24,1.0,21.0,,1,20.0,0.0,0.0,,2016-12-27,2025-01-08,1
CUST00124,24.0,Female,Bangalore,7.0,2.0,1.0,0.0,,111228.1,10000.0,5.0,16415.75,2.0,251.0,6.0,NO,2.0,0.0,0.0,,2017-01-17,2024-03-12,0
CUST00125,50.0,Male,Mumbai,10.0,1.0,0.0,0.0,574.0,20485.82,65525.49,44.0,10197.23,2.0,597.0,12.0,1,6.0,0.0,0.0,,2022-09-22,2021-05-20,0
CUST00126,70.0,Female,Kolkata,7.0,1.0,1.0,0.0,672.0,8437.69,133745.88,77.0,8169.54,5.0,12.0,38.0,YES,24.0,1.0,1.0,0.182,2022-07-29,2021-12-23,1
CUST00127,29.0,Male,Delhi,2.0,1.0,1.0,1.0,831.0,38820.56,38788.6,65.0,,0.0,,28.0,NO,4.0,1.0,0.0,0.505,2022-06-03,2024-08-06,0
CUST00128,35.0,Male,Hyderabad,6.0,3.0,0.0,1.0,610.0,200251.39,10000.0,2.0,6217.46,0.0,244.0,55.0,0,0.0,0.0,0.0,,2019-01-12,2024-09-13,0
CUST00129,43.0,male,Mumbai,,2.0,1.0,1.0,615.0,63061.23,135010.28,57.0,1439.44,0.0,671.0,37.0,1,14.0,0.0,0.0,,2019-07-21,2022-05-05,0
CUST00130,35.0,Female,Ahmedabad,6.0,2.0,0.0,0.0,695.0,30864.74,55985.81,50.0,771.84,0.0,188.0,27.0,1,25.0,0.0,0.0,,2015-11-29,2024-02-26,0
CUST00131,22.0,Male,Chennai,,2.0,1.0,1.0,605.0,31282.11,74370.46,52.0,7649.69,1.0,144.0,16.0,YES,25.0,0.0,0.0,,2018-03-20,2021-10-29,0
CUST00132,43.0,Male,Mumbai,8.0,4.0,1.0,1.0,704.0,11333.11,106531.2,11.0,10772.08,0.0,331.0,23.0,YES,22.0,1.0,0.0,0.35,2023-10-29,2023-09-12,0
CUST00133,28.0,Female,Kolkata,2.0,,1.0,0.0,593.0,51278.35,95926.91,30.0,3721.7,2.0,611.0,54.0,NO,8.0,1.0,0.0,0.605,2017-05-09,2024-12-21,1
CUST00134,48.0,Female,Bangalore,1.0,1.0,0.0,1.0,797.0,,105020.5,46.0,13978.78,0.0,,13.0,NO,16.0,0.0,0.0,,2019-07-11,2024-07-30,0
CUST00135,30.0,Male,Mumbai,11.0,1.0,0.0,1.0,678.0,276770.62,111017.16,,5195.81,0.0,400.0,6.0,0,2.0,0.0,0.0,,2015-10-01,2024-01-14,0
CUST00136,62.0,Male,Ahmedabad,2.0,3.0,0.0,1.0,600.0,55707.38,10000.0,60.0,7550.39,,355.0,49.0,YES,18.0,0.0,0.0,,2022-08-02,2022-01-26,0
CUST00137,32.0,Female,Ahmedabad,1.0,,0.0,1.0,603.0,14638.37,,12.0,12727.4,0.0,572.0,0.0,NO,12.0,1.0,0.0,0.114,2018-04-25,2024-11-06,0
